Total,Orthogroup,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome
19,OG0000471,2,6,5,5,1
19,OG0000472,5,3,2,1,8
19,OG0000475,2,4,1,10,2
19,OG0000476,2,7,3,3,4
19,OG0000478,9,3,1,5,1
19,OG0000479,8,2,2,4,3
19,OG0000480,5,3,5,3,3
19,OG0000481,7,6,1,4,1
19,OG0000484,4,2,6,5,2
19,OG0000485,5,4,4,5,1
19,OG0000486,1,4,5,6,3
19,OG0000487,3,4,4,4,4
19,OG0000488,3,8,1,6,1
19,OG0000489,3,3,2,7,4
19,OG0000493,4,6,1,1,7
19,OG0000494,3,6,5,3,2
19,OG0000495,4,3,3,5,4
19,OG0000496,4,3,1,9,2
19,OG0000497,1,5,2,10,1
19,OG0000498,3,6,1,6,3
19,OG0000499,1,4,2,10,2
19,OG0000500,3,8,1,5,2
19,OG0000501,5,4,1,5,4
19,OG0000502,2,7,8,1,1
19,OG0000503,3,7,1,6,2
19,OG0000504,4,5,3,3,4
19,OG0000506,2,3,3,5,6
19,OG0000508,2,7,2,4,4
19,OG0000509,4,8,4,1,2
19,OG0000510,2,6,1,9,1
19,OG0000511,1,8,2,7,1
19,OG0000512,4,7,4,2,2
19,OG0000514,1,2,3,9,4
18,OG0000521,6,6,2,2,2
18,OG0000523,5,3,6,2,2
18,OG0000524,5,6,1,3,3
18,OG0000525,6,1,3,7,1
18,OG0000526,5,3,1,6,3
18,OG0000527,4,3,2,7,2
18,OG0000530,4,4,3,6,1
18,OG0000531,2,5,6,4,1
18,OG0000533,1,5,1,6,5
18,OG0000534,4,4,4,3,3
18,OG0000537,5,2,1,5,5
18,OG0000538,5,2,3,3,5
18,OG0000540,3,7,4,2,2
18,OG0000542,3,8,3,3,1
18,OG0000544,4,5,6,1,2
18,OG0000546,3,2,2,4,7
18,OG0000548,1,5,1,4,7
18,OG0000555,3,4,3,4,4
18,OG0000556,4,5,2,3,4
18,OG0000557,1,8,1,4,4
18,OG0000558,3,8,1,5,1
18,OG0000560,4,4,1,8,1
18,OG0000561,3,6,2,4,3
18,OG0000563,4,8,3,2,1
18,OG0000566,4,8,1,3,2
18,OG0000568,6,2,1,4,5
18,OG0000569,3,5,2,6,2
18,OG0000571,1,6,4,4,3
18,OG0000572,3,5,2,5,3
18,OG0000573,1,3,2,4,8
18,OG0000574,3,4,5,3,3
18,OG0000575,4,2,3,5,4
18,OG0000576,4,6,1,5,2
18,OG0000578,3,3,3,3,6
18,OG0000580,1,4,3,7,3
18,OG0000581,3,3,1,5,6
18,OG0000582,2,8,1,4,3
18,OG0000584,5,5,2,2,4
18,OG0000586,1,1,4,1,11
18,OG0000587,3,7,4,1,3
17,OG0000590,4,2,4,3,4
17,OG0000591,4,2,2,1,8
17,OG0000592,6,3,2,4,2
17,OG0000595,5,3,4,2,3
17,OG0000596,6,4,4,1,2
17,OG0000599,2,2,1,7,5
17,OG0000603,3,1,2,7,4
17,OG0000605,3,4,3,2,5
17,OG0000606,3,4,1,6,3
17,OG0000608,2,3,2,7,3
17,OG0000609,1,6,5,4,1
17,OG0000610,4,7,1,3,2
17,OG0000612,2,5,3,3,4
17,OG0000613,4,1,2,2,8
17,OG0000614,3,6,2,4,2
17,OG0000616,3,5,1,5,3
17,OG0000619,2,7,3,3,2
17,OG0000624,4,5,4,3,1
17,OG0000625,4,6,5,1,1
17,OG0000627,6,3,2,2,4
17,OG0000629,2,4,2,5,4
17,OG0000630,2,2,4,4,5
17,OG0000634,2,6,1,4,4
17,OG0000636,3,3,3,5,3
17,OG0000637,3,10,1,1,2
17,OG0000638,1,6,2,5,3
17,OG0000639,1,4,5,4,3
17,OG0000640,3,8,1,1,4
17,OG0000641,1,6,2,3,5
17,OG0000642,2,4,4,4,3
17,OG0000644,3,4,4,3,3
17,OG0000646,4,5,2,4,2
17,OG0000647,4,3,2,7,1
17,OG0000648,2,5,1,6,3
17,OG0000649,3,5,4,3,2
17,OG0000650,3,3,4,3,4
17,OG0000652,4,3,5,3,2
17,OG0000653,1,4,1,5,6
17,OG0000656,1,5,2,7,2
17,OG0000657,2,3,4,4,4
17,OG0000658,2,2,5,3,5
17,OG0000659,1,5,1,3,7
17,OG0000660,1,5,5,3,3
17,OG0000661,1,6,6,3,1
16,OG0000666,6,1,1,4,4
16,OG0000670,3,5,2,3,3
16,OG0000672,3,4,4,3,2
16,OG0000674,3,1,5,3,4
16,OG0000675,6,1,2,4,3
16,OG0000677,3,3,3,4,3
16,OG0000678,3,4,5,2,2
16,OG0000679,2,5,6,2,1
16,OG0000682,4,5,3,3,1
16,OG0000683,2,6,5,1,2
16,OG0000684,6,2,2,4,2
16,OG0000685,4,2,1,5,4
16,OG0000687,11,1,2,1,1
16,OG0000688,4,3,3,2,4
16,OG0000689,5,4,2,3,2
16,OG0000691,4,2,2,5,3
16,OG0000697,3,4,4,2,3
16,OG0000699,4,4,5,1,2
16,OG0000700,3,5,3,4,1
16,OG0000703,4,6,1,4,1
16,OG0000704,3,4,4,3,2
16,OG0000705,3,6,4,2,1
16,OG0000706,8,3,1,2,2
16,OG0000710,5,2,2,3,4
16,OG0000711,6,4,4,1,1
16,OG0000713,5,3,3,3,2
16,OG0000714,4,8,1,1,2
16,OG0000715,3,4,3,4,2
16,OG0000717,4,4,1,4,3
16,OG0000718,3,4,1,7,1
16,OG0000722,6,2,2,4,2
16,OG0000724,4,1,4,1,6
16,OG0000725,4,5,3,2,2
16,OG0000728,5,5,1,4,1
16,OG0000730,2,5,1,5,3
16,OG0000731,3,6,2,3,2
16,OG0000732,5,1,3,2,5
16,OG0000736,1,6,7,1,1
16,OG0000737,2,3,1,3,7
16,OG0000738,5,5,3,1,2
16,OG0000740,1,4,2,7,2
16,OG0000741,2,6,5,2,1
16,OG0000743,2,4,3,4,3
16,OG0000745,3,5,2,4,2
16,OG0000746,2,2,2,5,5
16,OG0000748,2,3,4,4,3
16,OG0000749,3,4,3,3,3
16,OG0000750,2,4,3,3,4
16,OG0000752,3,3,2,3,5
16,OG0000754,4,2,2,4,4
16,OG0000756,1,7,2,5,1
16,OG0000757,2,6,1,6,1
16,OG0000758,4,5,2,2,3
16,OG0000759,1,2,2,5,6
16,OG0000760,2,3,5,4,2
16,OG0000762,1,3,1,10,1
16,OG0000763,3,4,2,6,1
15,OG0000768,1,5,5,3,1
15,OG0000769,3,4,4,3,1
15,OG0000770,3,2,2,6,2
15,OG0000771,3,1,1,2,8
15,OG0000774,4,1,2,2,6
15,OG0000775,9,2,2,1,1
15,OG0000776,10,1,1,1,2
15,OG0000777,1,4,4,3,3
15,OG0000782,7,3,3,1,1
15,OG0000783,5,4,3,2,1
15,OG0000784,3,3,2,4,3
15,OG0000790,3,3,2,6,1
15,OG0000791,4,4,3,2,2
15,OG0000792,3,3,2,6,1
15,OG0000794,2,2,7,3,1
15,OG0000799,4,1,1,8,1
15,OG0000800,3,4,2,3,3
15,OG0000803,2,4,4,4,1
15,OG0000805,4,6,3,1,1
15,OG0000808,4,4,1,5,1
15,OG0000811,3,5,5,1,1
15,OG0000813,4,1,1,6,3
15,OG0000815,8,1,3,1,2
15,OG0000817,5,3,2,2,3
15,OG0000818,2,4,1,4,4
15,OG0000819,1,4,3,4,3
15,OG0000821,4,5,2,2,2
15,OG0000823,5,6,1,2,1
15,OG0000824,2,5,4,2,2
15,OG0000825,9,2,2,1,1
15,OG0000829,3,4,2,3,3
15,OG0000832,1,3,2,5,4
15,OG0000833,3,2,2,5,3
15,OG0000835,2,5,3,3,2
15,OG0000837,4,2,2,3,4
15,OG0000838,2,6,2,2,3
15,OG0000839,4,1,2,5,3
15,OG0000840,3,3,1,3,5
15,OG0000841,2,1,2,7,3
15,OG0000844,3,3,3,3,3
15,OG0000845,3,7,1,3,1
15,OG0000846,1,6,5,2,1
15,OG0000848,3,4,4,2,2
15,OG0000849,3,4,2,3,3
15,OG0000850,1,8,1,2,3
15,OG0000851,3,4,2,1,5
15,OG0000852,5,2,1,3,4
15,OG0000853,3,2,2,2,6
15,OG0000854,2,1,3,4,5
15,OG0000855,2,3,2,4,4
15,OG0000856,1,2,3,5,4
15,OG0000857,1,4,1,4,5
15,OG0000858,1,4,2,4,4
15,OG0000860,2,5,5,2,1
15,OG0000862,1,5,5,3,1
14,OG0000870,3,5,1,2,3
14,OG0000873,2,3,1,7,1
14,OG0000875,4,4,2,3,1
14,OG0000894,4,3,1,4,2
14,OG0000900,5,2,2,4,1
14,OG0000901,3,7,1,2,1
14,OG0000903,2,2,3,3,4
14,OG0000904,7,2,1,2,2
14,OG0000905,5,2,1,3,3
14,OG0000906,3,5,4,1,1
14,OG0000908,5,3,3,2,1
14,OG0000909,3,1,1,7,2
14,OG0000910,7,2,1,2,2
14,OG0000911,2,5,3,2,2
14,OG0000912,3,7,2,1,1
14,OG0000915,2,4,2,2,4
14,OG0000916,4,3,4,2,1
14,OG0000919,4,2,3,2,3
14,OG0000920,4,2,4,2,2
14,OG0000923,2,4,5,2,1
14,OG0000924,2,4,2,2,4
14,OG0000925,5,3,3,2,1
14,OG0000927,1,1,1,8,3
14,OG0000933,5,4,1,1,3
14,OG0000938,3,4,4,1,2
14,OG0000941,2,4,4,3,1
14,OG0000942,3,3,1,6,1
14,OG0000943,3,7,1,2,1
14,OG0000945,3,3,3,3,2
14,OG0000949,3,6,1,2,2
14,OG0000950,3,2,1,6,2
14,OG0000951,5,2,2,2,3
14,OG0000954,4,4,2,3,1
14,OG0000956,5,2,2,2,3
14,OG0000959,4,3,3,2,2
14,OG0000961,3,2,1,3,5
14,OG0000962,1,4,2,4,3
14,OG0000964,5,1,1,4,3
14,OG0000965,2,5,3,3,1
14,OG0000968,4,3,2,3,2
14,OG0000969,3,5,4,1,1
14,OG0000970,1,3,3,3,4
14,OG0000971,3,3,4,3,1
14,OG0000972,1,5,1,6,1
14,OG0000975,3,2,4,2,3
14,OG0000977,3,2,2,6,1
14,OG0000978,6,2,1,3,2
14,OG0000979,2,3,2,5,2
14,OG0000983,1,3,4,3,3
14,OG0000984,2,3,2,3,4
14,OG0000985,2,2,6,2,2
14,OG0000986,1,3,1,7,2
14,OG0000988,2,4,1,4,3
14,OG0000989,2,2,3,2,5
14,OG0000990,3,4,3,2,2
14,OG0000991,1,2,3,3,5
14,OG0000992,3,2,3,2,4
14,OG0000993,3,5,1,3,2
14,OG0000996,2,5,4,1,2
14,OG0000999,1,4,6,2,1
13,OG0001015,4,3,4,1,1
13,OG0001019,2,3,4,3,1
13,OG0001020,2,5,2,3,1
13,OG0001025,4,2,3,1,3
13,OG0001026,3,3,2,3,2
13,OG0001028,4,1,3,2,3
13,OG0001030,1,6,1,1,4
13,OG0001033,3,3,2,1,4
13,OG0001034,4,2,2,2,3
13,OG0001035,3,2,1,4,3
13,OG0001039,4,2,3,3,1
13,OG0001040,2,6,1,2,2
13,OG0001041,3,4,2,2,2
13,OG0001043,3,2,3,2,3
13,OG0001044,3,3,2,4,1
13,OG0001045,4,3,2,2,2
13,OG0001047,2,5,2,3,1
13,OG0001051,1,4,1,1,6
13,OG0001054,2,1,3,2,5
13,OG0001055,4,3,1,4,1
13,OG0001057,1,3,2,5,2
13,OG0001058,2,3,3,4,1
13,OG0001059,1,4,5,1,2
13,OG0001062,1,5,5,1,1
13,OG0001063,2,3,3,2,3
13,OG0001065,2,6,1,2,2
13,OG0001067,4,2,1,2,4
13,OG0001070,4,2,1,2,4
13,OG0001073,3,1,1,4,4
13,OG0001075,4,2,3,3,1
13,OG0001082,3,3,5,1,1
13,OG0001083,4,4,2,2,1
13,OG0001089,2,4,3,2,2
13,OG0001096,3,4,3,1,2
13,OG0001097,1,2,5,3,2
13,OG0001101,2,2,3,4,2
13,OG0001105,4,4,2,2,1
13,OG0001107,3,6,1,1,2
13,OG0001108,3,2,1,2,5
13,OG0001109,2,3,1,3,4
13,OG0001112,3,3,2,3,2
13,OG0001113,2,2,3,3,3
13,OG0001114,3,3,2,2,3
13,OG0001115,5,1,1,5,1
13,OG0001119,2,5,2,3,1
13,OG0001120,7,2,1,2,1
13,OG0001123,1,2,3,4,3
13,OG0001124,1,3,3,2,4
13,OG0001125,1,4,5,2,1
13,OG0001126,2,5,1,2,3
13,OG0001127,4,2,1,3,3
13,OG0001128,1,2,1,6,3
13,OG0001129,6,1,3,2,1
13,OG0001131,3,2,3,4,1
13,OG0001133,1,2,2,5,3
13,OG0001134,3,3,1,3,3
13,OG0001135,4,3,1,1,4
13,OG0001137,2,3,5,2,1
13,OG0001138,1,5,1,5,1
13,OG0001139,2,2,3,2,4
13,OG0001143,1,4,4,3,1
13,OG0001145,1,4,2,3,3
13,OG0001146,2,2,4,2,3
13,OG0001147,2,1,2,6,2
13,OG0001148,1,4,3,2,3
13,OG0001149,1,4,5,2,1
13,OG0001150,2,4,5,1,1
13,OG0001154,1,3,1,7,1
13,OG0001156,2,2,2,4,3
13,OG0001157,1,4,1,3,4
13,OG0001158,1,1,2,6,3
12,OG0001167,3,2,2,3,2
12,OG0001173,5,2,3,1,1
12,OG0001174,4,5,1,1,1
12,OG0001180,2,2,2,4,2
12,OG0001181,3,2,2,3,2
12,OG0001182,2,4,3,2,1
12,OG0001183,4,2,1,4,1
12,OG0001184,2,3,1,3,3
12,OG0001185,3,3,2,2,2
12,OG0001186,2,1,1,4,4
12,OG0001188,2,2,2,5,1
12,OG0001198,2,2,2,2,4
12,OG0001200,5,1,1,4,1
12,OG0001201,3,1,1,4,3
12,OG0001202,4,4,2,1,1
12,OG0001203,2,3,2,2,3
12,OG0001204,2,4,3,2,1
12,OG0001206,8,1,1,1,1
12,OG0001207,5,2,1,2,2
12,OG0001209,3,4,3,1,1
12,OG0001210,3,1,2,2,4
12,OG0001221,4,1,1,3,3
12,OG0001227,2,3,2,4,1
12,OG0001228,1,2,1,2,6
12,OG0001229,2,4,4,1,1
12,OG0001230,2,3,2,3,2
12,OG0001239,3,2,1,3,3
12,OG0001242,2,3,4,2,1
12,OG0001251,4,2,2,2,2
12,OG0001252,4,4,1,2,1
12,OG0001253,3,4,1,2,2
12,OG0001255,3,2,4,2,1
12,OG0001261,1,2,2,4,3
12,OG0001263,3,4,2,2,1
12,OG0001267,3,2,1,3,3
12,OG0001269,4,2,3,2,1
12,OG0001270,1,6,2,2,1
12,OG0001271,2,2,1,4,3
12,OG0001272,1,3,2,3,3
12,OG0001273,2,1,1,4,4
12,OG0001279,4,2,3,1,2
12,OG0001280,3,3,2,3,1
12,OG0001284,4,2,3,2,1
12,OG0001286,2,1,1,3,5
12,OG0001288,2,6,2,1,1
12,OG0001289,3,1,1,4,3
12,OG0001290,2,4,1,3,2
12,OG0001293,6,2,1,1,2
12,OG0001294,2,4,3,2,1
12,OG0001300,2,3,2,4,1
12,OG0001301,2,4,4,1,1
12,OG0001302,2,3,3,3,1
12,OG0001303,2,2,1,6,1
12,OG0001304,3,1,2,5,1
12,OG0001306,3,2,1,5,1
12,OG0001307,3,3,3,1,2
12,OG0001308,1,5,1,4,1
12,OG0001310,2,4,2,3,1
12,OG0001312,3,2,3,3,1
12,OG0001313,2,2,5,2,1
12,OG0001314,2,1,1,5,3
12,OG0001315,2,2,1,4,3
12,OG0001316,2,2,4,3,1
12,OG0001317,3,1,1,4,3
12,OG0001321,1,3,2,3,3
12,OG0001322,1,2,1,4,4
12,OG0001324,2,1,1,4,4
12,OG0001325,1,5,2,1,3
12,OG0001327,4,2,2,2,2
12,OG0001328,4,1,2,3,2
12,OG0001329,3,2,2,3,2
12,OG0001331,2,2,2,4,2
12,OG0001332,4,1,2,2,3
12,OG0001333,3,2,3,2,2
12,OG0001334,2,2,3,3,2
12,OG0001336,2,3,3,1,3
12,OG0001337,2,2,4,2,2
12,OG0001338,2,2,3,3,2
12,OG0001339,4,1,2,3,2
12,OG0001340,2,1,2,3,4
12,OG0001341,3,3,1,2,3
12,OG0001343,1,7,1,1,2
12,OG0001345,5,1,1,3,2
12,OG0001347,2,1,2,4,3
12,OG0001348,2,3,2,3,2
12,OG0001349,1,4,2,2,3
12,OG0001350,3,3,3,1,2
12,OG0001351,1,2,2,3,4
12,OG0001352,2,1,2,3,4
12,OG0001354,1,5,2,2,2
12,OG0001357,2,4,4,1,1
12,OG0001360,1,4,3,1,3
11,OG0001375,2,2,2,1,4
11,OG0001376,3,2,2,2,2
11,OG0001378,2,3,2,3,1
11,OG0001381,3,3,1,3,1
11,OG0001382,2,3,3,2,1
11,OG0001388,2,6,1,1,1
11,OG0001393,3,3,2,1,2
11,OG0001394,4,2,1,3,1
11,OG0001395,4,2,3,1,1
11,OG0001397,3,2,1,1,4
11,OG0001400,1,3,4,1,2
