OG,theta,sigma2,alpha,beta,results
OG0000385,10.4174427,8.65095891,6.549674213,0.025710937,0.013839445
OG0008522,4.81152926,54.5793625,11.44119494,0.025853828,0.014157276
OG0007049,7.488131574,231.994957,82.3562525,0.025951082,0.01416342
OG0004008,8.414003135,11.66353507,10.15189142,0.025989522,0.014166672
OG0011068,8.786824794,263.6835616,74.14897999,0.026008774,0.014362104
OG0002958,6.925332063,42.84345979,7.686195324,0.026114831,0.014747525
OG0006994,9.217014888,15.27167885,12.46657247,0.026179348,0.014954906
OG0004635,9.417052206,130.5446379,71.16857683,0.026161798,0.014955061
OG0006024,9.197924354,2.782797287,5.374485067,0.026047036,0.01497223
OG0003511,6.032937944,45.85689923,9.17823643,0.026183347,0.014991879
OG0006082,6.968691334,175.0832075,74.51121683,0.02631679,0.015142483
OG0001056,8.440460892,22.48666374,8.906398985,0.026406235,0.015264704
OG0007060,6.59862067,186.8709537,77.13419099,0.026509757,0.015627599
OG0006181,7.067988322,35.93448975,7.850059369,0.026472818,0.015731269
OG0008845,8.112721028,175.4982753,82.90232007,0.026812354,0.016513955
OG0000195,7.740924345,21.91705448,3.939052365,0.026293389,0.016612319
OG0004330,7.677312317,244.2789702,73.38484968,0.026882805,0.016651319
OG0003929,8.304775614,11.94857654,9.067012768,0.02703553,0.016932144
OG0005818,7.411046507,296.1279621,59.36720708,0.026936862,0.017022504
OG0008936,7.458785296,8.791442563,3.721583407,0.026334153,0.017174722
OG0006669,7.871353127,150.4793271,85.9924072,0.027066782,0.017221359
OG0004696,7.293434349,25.28802552,21.29011861,0.027286598,0.017671699
OG0005093,10.68356671,35.74505588,11.63410379,0.027289414,0.017673539
OG0010690,7.311250229,275.9820344,994.7785872,6.259150065,0.017872551
OG0002885,8.138228044,369.2881953,73.47475464,0.027295614,0.017942068
OG0007267,9.016505678,141.7800045,68.94552074,0.027450236,0.018095973
OG0010681,6.605796941,36.62664413,126.9736108,3.50000519,0.018339725
OG0005139,8.771695098,56.56687554,10.43063985,0.027538548,0.018366555
OG0000789,11.17753218,0.853518244,72.70971959,4.269396252,0.0183987
OG0010725,8.398591275,232.364066,62.11031891,0.027490495,0.018536684
OG0008863,5.670082712,1.896335405,75.67463061,3.872450097,0.018677559
OG0003338,3.388181196,64.63013521,999,6.290897487,0.018703224
OG0003303,6.242443177,14.8117924,999,8.766363615,0.018933526
OG0001960,8.422610393,207.4773878,79.42227927,0.027654053,0.018934086
OG0003817,8.254187721,57.95383457,11.09428187,0.02775269,0.019030934
OG0003064,6.7756029,5.006689197,58.45528489,4.645113717,0.019113952
OG0005885,7.780143033,11.34224516,758.7994094,8.762990788,0.019129802
OG0002097,7.330887927,17.25426503,58.99667084,2.005000016,0.019248349
OG0009092,4.117291089,38.44571044,75.21749075,1.767658182,0.019482432
OG0010732,6.68573464,29.84953852,69.58302412,2.161966762,0.019744869
OG0010788,7.193856919,103.7053916,999,9.1697136,0.019805434
