"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","counts.sample1","counts.sample2","counts.sample3","counts.sample4","length.sample1","length.sample2","length.sample3","length.sample4","countsFromAbundance"
"OG0037897",4.965578,6.413272,10.628942,5.313717,18.382,26,55,22,676.653,668.572,669.065,675.585,"no"
"OG0037898",6.490115,8.712905,3.311419,10.879443,89,132,64,167.047,2506.547,2498.419,2498.971,2505.467,"no"
"OG0037899",5.18893,8.136456,10.583952,6.72025,29,50,83,42.027,1021.547,1013.419,1013.971,1020.467,"no"
"OG0037900",0,1.693488,0,0,0,4.519,0,0,440.109,440.109,440.109,440.109,"no"
"OG0037903",25.520536,28.855623,38.830563,23.49704,289.092,360.872,619.543,298,2070.547,2062.419,2062.971,2069.467,"no"
"OG0037904",7.972065,11.171122,14.272185,6.97543,48,74,120.643,47,1100.547,1092.419,1092.971,1099.467,"no"
"OG0037905",8.127483,6.301559,11.861662,6.065689,140,120,288.147,117,3148.547,3140.419,3140.971,3147.467,"no"
"OG0037906",42.488469,52.299734,72.714189,45.556973,51,67,119,61,219.4,211.266,211.604,218.489,"no"
"OG0037907",3.812439,5.193394,8.140082,4.847578,26,39,78,37,1246.547,1238.419,1238.971,1245.467,"no"
"OG0037908",46.599728,47.501247,79.86844,52.56796,172,192,412.049,217,674.657,666.577,667.066,673.588,"no"
"OG0037909",5.703679,4.63918,4.088764,2.267118,18,16,18,8,576.84,568.765,569.214,575.799,"no"
"OG0037910",17.272924,16.819818,26.775977,14.114362,58,61.777,125.524,53,613.763,605.707,606.147,612.731,"no"
"OG0037911",8.37933,10.111273,13.161996,9.362447,40,53,88.05,50.002,872.547,864.419,864.971,871.467,"no"
"OG0037912",13.157945,12.712826,30.64195,18.132641,37,39,119.999,57,513.987,505.914,506.357,512.943,"no"
"OG0037913",8.556679,10.868365,13.772914,9.426288,43,60,97.036,53,918.547,910.419,910.971,917.467,"no"
"OG0037914",13.913017,11.274865,14.670248,9.707288,294.083,263.59,437.498,229.777,3863.547,3855.419,3855.971,3862.467,"no"
"OG0037915",12.503313,14.654445,14.785645,8.005104,150.665,195,251,108,2202.547,2194.419,2194.971,2201.467,"no"
"OG0037916",98.409007,97.671304,161.306061,109.03894,434.237,472.872,996.75,538.238,806.547,798.419,798.971,805.467,"no"
"OG0037917",19.729985,13.107998,18.77254,8.802791,301,221,403.761,150.375,2788.547,2780.419,2780.971,2787.467,"no"
"OG0037918",2.817637,5.142764,11.171575,7.786494,11,22,61,34,713.585,705.473,706.01,712.512,"no"
"OG0037919",2.322344,3.827573,3.375032,1.603028,22,40,45,17,1731.547,1723.419,1723.971,1730.467,"no"
"OG0037920",39.135242,24.547065,38.119377,16.863179,311,215,426,150,1452.547,1444.419,1444.971,1451.467,"no"
"OG0037921",1.749761,1.191739,1.971701,1.693684,12,9,19,13,1253.547,1245.419,1245.971,1252.467,"no"
"OG0037923",21.057182,15.333467,26.425239,19.939497,56.684,45,99.002,60,492.035,483.979,484.419,491.012,"no"
"OG0037924",2.943556,1.796457,3.283835,2.047475,9,6,14,7,558.867,550.793,551.242,557.835,"no"
"OG0037925",16.934017,14.849279,15.808715,14.764773,81.022,78.015,106,79.035,874.547,866.419,866.971,873.467,"no"
"OG0037926",2.372522,2.656304,3.121999,2.120293,13,16.001,24,13,1001.547,993.419,993.971,1000.467,"no"
"OG0037927",31.905643,41.732789,59.7044,33.932313,69,98,179.005,82,395.294,387.26,387.662,394.326,"no"
"OG0037928",6.646468,10.052637,9.918677,5.938034,51,85,107.01,51,1402.547,1394.419,1394.971,1401.467,"no"
"OG0037930",31.269602,19.382958,41.561746,19.721492,112,76,208,79,654.687,646.618,647.09,653.646,"no"
"OG0037931",0.831238,1.771599,4.362293,0.990987,3,7,22,4,659.681,651.609,652.083,658.639,"no"
"OG0037935",30.872027,27.259178,38.675664,21.902547,278.269,270.987,490.545,221,1647.547,1639.419,1639.971,1646.467,"no"
"OG0037936",7.285368,2.238728,3.857468,4.347001,15,5,11,10,376.338,368.318,368.711,375.375,"no"
"OG0037937",25.761784,26.659613,28.181606,17.472715,110.998,126,170,84.214,787.547,779.419,779.971,786.467,"no"
"OG0037939",6.531522,15.273025,13.831749,7.589863,30,77,89,39,839.547,831.419,831.971,838.467,"no"
"OG0037941",7.397139,9.802944,9.514744,6.428925,74,108.212,134,72,1828.547,1820.419,1820.971,1827.467,"no"
"OG0037942",3.281469,4.645702,7.0019,2.110838,25,39,75,18,1392.547,1384.419,1384.971,1391.467,"no"
"OG0037943",6.708832,5.669936,11.417466,5.018786,43,40,102.782,36,1171.547,1163.419,1163.971,1170.467,"no"
"OG0037945",116.798048,104.698324,152.05316,88.97156,201,194.602,360.936,171,314.557,306.523,306.924,313.618,"no"
"OG0037946",15.480385,15.393731,23.818796,10.48601,106.843,117,231,81,1261.547,1253.419,1253.971,1260.467,"no"
"OG0037947",4.909963,7.523044,7.827243,5.372179,34.371,58,77,42.091,1279.547,1271.419,1271.971,1278.467,"no"
"OG0037948",10.08168,10.488968,14.030462,8.263292,36,41,70,33,652.691,644.622,645.092,651.653,"no"
"OG0037949",6.966644,6.19038,6.447711,3.893648,112,110,146.158,70.093,2938.547,2930.419,2930.971,2937.467,"no"
"OG0037950",4.790076,5.172438,7.865648,5.697514,17,20.093,39,22.614,648.701,640.636,641.1,647.665,"no"
"OG0037951",12.058361,13.478645,23.118232,9.985827,54,66.237,144.999,50.026,818.547,810.419,810.971,817.467,"no"
"OG0037952",2.807279,2.103735,4.512538,3.053137,23,19,52,28,1497.547,1489.419,1489.971,1496.467,"no"
"OG0037953",10.615306,17.093627,24.035,10.686278,24,42,75.4,27,413.254,405.2,405.626,412.28,"no"
"OG0037954",20.408328,19.853231,30.112726,17.525249,102,109,210.994,98,913.547,905.419,905.971,912.467,"no"
"OG0037955",19.276374,19.507087,28.21176,19.596855,82,91.013,168,93.251,777.547,769.419,769.971,776.467,"no"
"OG0037957",5.169991,5.720501,7.621803,4.168199,41,50,85,37,1449.547,1441.419,1441.971,1448.467,"no"
"OG0037958",30.596575,28.479965,39.015902,35.511445,44,44,77,57,262.856,254.781,255.179,261.916,"no"
"OG0037959",9.143266,5.482656,6.341073,4.854219,32,21,31,19,639.716,631.659,632.112,638.689,"no"
"OG0037960",18.293504,16.675757,19.990797,10.027484,176,177,270.716,108,1758.547,1750.419,1750.971,1757.467,"no"
"OG0037961",5.920557,7.381269,7.109832,6.048869,35,48,59,40.015,1080.547,1072.419,1072.971,1079.467,"no"
"OG0037962",22.817145,11.20215,16.839417,7.556626,143,77.262,148.205,53,1145.547,1137.419,1137.971,1144.467,"no"
"OG0037963",25.708055,21.096992,34.524089,20.251407,305,276.378,577,269,2168.547,2160.419,2160.971,2167.467,"no"
"OG0037964",8.648498,7.731353,14.058454,4.967854,56,55.105,127.861,36,1183.547,1175.419,1175.971,1182.467,"no"
"OG0037965",6.90427,6.487261,10.344127,6.608679,56,58,118,60,1482.547,1474.419,1474.971,1481.467,"no"
"OG0037967",3.733977,4.178097,4.728216,2.557495,30,37,53.425,23,1468.547,1460.419,1460.971,1467.467,"no"
"OG0037968",7.896044,0,0,0,3,0,0,0,69.446,69.446,69.446,69.446,"no"
"OG0037969",4.295231,4.326694,5.004264,2.425,19,21,31,12,808.547,800.419,800.971,807.467,"no"
"OG0037970",11.765,103.207968,15.037065,11.242648,9.391,86,16,10,145.901,137.417,137.579,145.14,"no"
"OG0037971",13.156337,15.427279,14.975162,5.596299,126,163,201.867,60,1750.547,1742.419,1742.971,1749.467,"no"
"OG0037972",6.729975,5.221502,5.377859,5.720484,41,35,46,39,1113.547,1105.419,1105.971,1112.467,"no"
"OG0037973",0.674991,1.255395,0.982769,1.814097,1,2,2,3,270.795,262.726,263.132,269.846,"no"
"OG0037974",13.918346,13.455279,18.936061,12.085388,253,270.424,485.483,246,3322.547,3314.419,3314.971,3321.467,"no"
"OG0037975",10.795356,11.583246,17.974965,11.396715,123.351,146.126,289.294,145.795,2088.547,2080.419,2080.971,2087.467,"no"
"OG0037976",1.969265,2.919132,1.759296,2.420784,8,13,10,11,742.547,734.419,734.971,741.467,"no"
"OG0037977",17.19558,25.055898,38.0105,23.10008,28,44,85.249,42,297.632,289.599,289.988,296.682,"no"
"OG0037978",20.340914,15.476774,23.331027,12.052629,391.001,328.977,632.626,259.441,3513.547,3505.419,3505.971,3512.467,"no"
"OG0037980",29.034258,33.101699,33.787517,19.451773,276,347.133,452.064,207,1737.547,1729.419,1729.971,1736.467,"no"
"OG0037981",2.933452,1.875413,2.450039,1.232988,34,24,40,16,2118.547,2110.419,2110.971,2117.467,"no"
"OG0037982",18.909084,11.346559,32.459246,24.394791,70,46,167.962,101,676.653,668.572,669.065,675.585,"no"
"OG0037983",0,3.423024,3.751242,2.631339,0,5,7,4,243.383261789363,240.888,241.278,248.05,"no"
"OG0037984",21.157809,19.268653,26.608092,11.609033,101,101,178,62,872.547,864.419,864.971,871.467,"no"
"OG0037985",1.104372,2.616325,2.206015,1.5795,5,13,13.99,8,827.547,819.419,819.971,826.467,"no"
"OG0037986",10.864576,11.804823,21.143302,13.414419,42,50,114.305,58,706.602,698.498,699.017,705.524,"no"
"OG0037987",16.719974,17.475873,24.591648,15.58727,137.993,159,285.473,144,1508.547,1500.419,1500.971,1507.467,"no"
"OG0037989",12.129014,8.788753,13.717673,9.650832,165,132.083,263,147,2486.547,2478.419,2478.971,2485.467,"no"
"OG0037990",20.66528,15.324387,24.437811,13.422573,80,65,132.305,58.117,707.599,699.495,700.016,706.521,"no"
"OG0037991",224.226017,275.093618,380.295035,298.459991,349.256,461.493,814.854,519,284.706,276.655,277.048,283.751,"no"
"OG0037993",2.673695,1.464686,1.338792,1.434363,10,6,7,6,683.638,675.556,676.052,682.571,"no"
"OG0037995",7.742008,19.818063,14.480881,10.704297,37,104,96.985,57.234,873.547,865.419,865.971,872.467,"no"
"OG0037996",9.658629,6.474131,6.405974,2.326275,26,19,24,7,492.035,483.979,484.419,491.012,"no"
"OG0037998",5.980155,8.914435,11.011625,6.018496,16,26,41,18,489.042,480.988,481.424,488.023,"no"
"OG0037999",9.851914,8.422642,12.259945,7.733655,142,134.14,249.086,124.812,2634.547,2626.419,2626.971,2633.467,"no"
"OG0038000",17.645382,18.256741,27.768837,15.135164,74,83.961,163,71,766.547,758.419,758.971,765.467,"no"
"OG0038001",8.277772,6.374604,12.948086,5.088228,32,27,70,22,706.602,698.498,699.017,705.524,"no"
"OG0038002",2.891161,4.441382,38.819296,5.175141,6,10,111.596,12,379.33,371.31,371.703,378.368,"no"
"OG0038003",7.051943,5.514884,5.489805,4.103326,43,37,47,28,1114.547,1106.419,1106.971,1113.467,"no"
"OG0038004",6.893766,5.775303,9.956315,3.594136,38,35,77,22.169,1007.547,999.419,999.971,1006.467,"no"
"OG0038005",9.341277,13.136146,16.992218,7.45973,28,43,71,25,547.886,539.827,540.261,546.855,"no"
"OG0038006",1.284686,1.233005,4.827987,4.128548,1,1,5,3.581,142.279,133.749,133.906,141.521,"no"
"OG0038007",3.684979,4.731416,12.838049,7.581936,10,14,48.494,23,496.025,487.968,488.408,494.998,"no"
"OG0038008",3.918068,4.977894,5.294683,3.8505,30,42,57,33,1399.547,1391.419,1391.971,1398.467,"no"
"OG0038009",38.037044,34.478246,51.213046,19.348888,330.158,329.999,625.402,188,1586.547,1578.419,1578.971,1585.467,"no"
"OG0038010",10.85632,15.157895,15.912511,6.394927,41.019,62.736,84.06,27.024,690.627,682.541,683.042,689.555,"no"
"OG0038011",21.460179,25.977929,31.785666,19.38304,164.2,219.026,341.943,166,1398.547,1390.419,1390.971,1397.467,"no"
"OG0038012",38.981556,45.205568,60.576448,40.106373,235.135,300,512.993,270.726,1102.547,1094.419,1094.971,1101.467,"no"
"OG0038013",1.411518,0.646838,1.520135,0.94698,4,2,6,3,517.978,509.904,510.346,516.935,"no"
"OG0038014",35.360933,35.860628,54.780038,37.025329,117,129.758,253,136.993,604.784,596.722,597.164,603.747,"no"
"OG0038015",28.49769,36.305872,49.455649,23.792092,276.044,388,674.32,258,1770.547,1762.419,1762.971,1769.467,"no"
"OG0038016",8.627222,13.193836,9.355431,4.081039,62.328,105,95,33,1320.547,1312.419,1312.971,1319.467,"no"
"OG0038018",7.920576,3.757201,7.851391,5.231631,46,24,64,34,1061.547,1053.419,1053.971,1060.467,"no"
"OG0038019",5.33802,2.936513,5.508477,2.809752,56,34,81.37,33,1917.547,1909.419,1909.971,1916.467,"no"
"OG0038020",4.533956,2.922099,7.120625,2.702584,24,17,52.867,16.007,967.547,959.419,959.971,966.467,"no"
"OG0038021",6.705149,12.857151,16.513898,8.14355,29,61,100,39.4,790.547,782.419,782.971,789.467,"no"
"OG0038022",20.403138,22.260145,31.350334,17.351012,159.684,192,345.019,152,1430.547,1422.419,1422.971,1429.467,"no"
"OG0038023",2.778628,1.341416,1.050707,3.425718,2,1,1,2.748,131.564,122.939,123.059,130.893,"no"
"OG0038024",31.805969,48.001138,67.16458,33.811549,70,114.751,205,83.155,402.279,394.24,394.647,401.308,"no"
"OG0038025",3.875095,3.860872,4.866944,4.617555,21,23,37,28,990.547,982.419,982.971,989.467,"no"
"OG0038026",5.164859,5.308288,9.316437,3.791889,45,51,114.203,36.983,1592.547,1584.419,1584.971,1591.467,"no"
"OG0038027",12.31536,8.956992,12.676165,10.449184,39,31,56,37,578.836,570.76,571.21,577.796,"no"
"OG0038028",75.69581,69.491146,107.299214,59.449163,265.75,267.01,526.219,233.418,641.711,633.655,634.111,640.685,"no"
"OG0038029",24.408124,25.137086,28.924028,18.873724,44,49,72,38.002,329.501,321.466,321.862,328.552,"no"
"OG0038030",2.904246,4.239053,4.579433,3.835533,23,37,51,34,1447.547,1439.419,1439.971,1446.467,"no"
"OG0038031",37.566397,36.635192,53.747387,35.379694,96,101.978,191,101.056,467.1,459.051,459.485,466.084,"no"
"OG0038032",1.865862,0.988839,1.661955,2.084039,12,7,15.013,15,1175.547,1167.419,1167.971,1174.467,"no"
"OG0038033",34.971411,36.196221,46.421159,19.011564,148,168,275,90,773.547,765.419,765.971,772.467,"no"
"OG0038034",0,2.253362,1.792798,0.731473,0,6,6.094,2,441.590259426526,439.111,439.538,446.157,"no"
"OG0038035",25.373358,107.933719,71.24304,89.784547,126.676,591.933,498.634,501.519,912.547,904.419,904.971,911.467,"no"
"OG0038036",10.707938,9.432836,12.43744,8.538087,65,63,106,58,1109.547,1101.419,1101.971,1108.467,"no"
"OG0038037",2.740515,0.506718,0,1.472114,5,1,0,3,333.485,325.453,330.470814859123,332.533,"no"
"OG0038038",1.888055,1.039375,2.985281,1.351257,5,3,11,4,484.054,475.996,476.434,483.034,"no"
"OG0038039",24.423724,22.17267,29.910639,17.053373,298.047,298.806,514.238,233,2230.547,2222.419,2222.971,2229.467,"no"
"OG0038040",4.047261,5.250248,7.097725,4.39107,28,40,69,34,1264.547,1256.419,1256.971,1263.467,"no"
"OG0038041",13.467897,11.875654,20.558371,9.491448,114.69,111.504,246.284,90.477,1556.547,1548.419,1548.971,1555.467,"no"
"OG0038042",1.586758,1.805445,4.527025,0.886374,8,10,32,5,921.547,913.419,913.971,920.467,"no"
"OG0038043",23.563121,15.843036,21.565852,10.319654,179.517,133,231,88,1392.547,1384.419,1384.971,1391.467,"no"
"OG0038044",6.014485,3.653816,8.747479,2.588613,27,18,55,13,820.547,812.419,812.971,819.467,"no"
"OG0038045",5.137872,1.731515,0.54272,2.551036,27,10,4,15,960.547,952.419,952.971,959.467,"no"
"OG0038046",18.130705,13.258623,21.354202,7.138299,201.91,163,334.927,89,2035.547,2027.419,2027.971,2034.467,"no"
"OG0038047",25.314189,22.961987,32.453963,17.682359,487.292,488.781,881.251,381.167,3518.547,3510.419,3510.971,3517.467,"no"
"OG0038048",2.228914,4.429668,0.800747,2.991273,6,13,3,9.001,492.035,483.979,484.419,491.012,"no"
"OG0038049",5.880721,4.807794,7.696249,4.653501,68.257,61.614,125.83,60.472,2121.547,2113.419,2113.971,2120.467,"no"
"OG0038050",7.67114,7.111871,9.363268,4.336552,49,50,84,31,1167.547,1159.419,1159.971,1166.467,"no"
"OG0038052",8.960529,7.9729,12.639756,8.372956,44,43,87,46,897.547,889.419,889.971,896.467,"no"
"OG0038053",0.51286,0.473374,2.595089,0.459072,1,1,7,1,356.401,348.378,348.772,355.447,"no"
"OG0038054",23.635897,40.137225,58.39031,55.662755,16,28,52,42,123.733,115.044,115.148,123.123,"no"
"OG0038056",30.938527,48.540291,73.245874,34.957045,61,103.715,199.831,77,360.386,352.367,352.757,359.428,"no"
"OG0038057",16.617846,16.793175,20.626886,16.628696,313.344,350.136,548.614,351.116,3446.547,3438.419,3438.971,3445.467,"no"
"OG0038058",20.476068,23.191593,35.844512,27.37047,78.261,97.107,191.568,117.003,698.615,690.519,691.03,697.539,"no"
"OG0038059",2.311806,2.813097,3.489544,1.837272,9,12,19,8,711.589,703.478,704.012,710.513,"no"
"OG0038060",36.570932,31.446543,44.953064,27.138953,907.46,863.315,1574.228,754.161,4535.547,4527.419,4527.971,4534.467,"no"
"OG0038062",2.893881,2.803845,4.391826,2.596289,2,2,4,2,126.325,117.657,117.763,125.699,"no"
"OG0038063",3.875726,1.922398,5.649146,2.204083,22,12,45,14,1037.547,1029.419,1029.971,1036.467,"no"
"OG0038064",16.477916,19.485064,32.933239,13.767357,61,78.994,170.415,57,676.653,668.572,669.065,675.585,"no"
"OG0038065",2.46203,1.45561,2.662085,1.051841,23,15,35,11,1707.547,1699.419,1699.971,1706.467,"no"
"OG0038067",6.406743,8.24083,7.037085,7.178007,8,11,12,10,228.24,220.128,220.487,227.327,"no"
