OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0009377,1,1,1,1,1,5
OG0009379,1,1,1,1,1,5
OG0009380,1,1,1,1,1,5
OG0009381,1,1,1,1,1,5
OG0009382,1,1,1,1,1,5
OG0009383,1,1,1,1,1,5
OG0009384,1,1,1,1,1,5
OG0009385,1,1,1,1,1,5
OG0009386,1,1,1,1,1,5
OG0009387,1,1,1,1,1,5
OG0009388,1,1,1,1,1,5
OG0009390,1,1,1,1,1,5
OG0009392,1,1,1,1,1,5
OG0009393,1,1,1,1,1,5
OG0009394,1,1,1,1,1,5
OG0009395,1,1,1,1,1,5
OG0009396,1,1,1,1,1,5
OG0009397,1,1,1,1,1,5
OG0009401,1,1,1,1,1,5
OG0009402,1,1,1,1,1,5
OG0009403,1,1,1,1,1,5
OG0009406,1,1,1,1,1,5
OG0009408,1,1,1,1,1,5
OG0009409,1,1,1,1,1,5
OG0009410,1,1,1,1,1,5
OG0009411,1,1,1,1,1,5
OG0009412,1,1,1,1,1,5
OG0009417,1,1,1,1,1,5
OG0009420,1,1,1,1,1,5
OG0009422,1,1,1,1,1,5
OG0009424,1,1,1,1,1,5
OG0009426,1,1,1,1,1,5
OG0009434,1,1,1,1,1,5
OG0009436,1,1,1,1,1,5
OG0009438,1,1,1,1,1,5
OG0009439,1,1,1,1,1,5
OG0009440,1,1,1,1,1,5
OG0009442,1,1,1,1,1,5
OG0009444,1,1,1,1,1,5
OG0009445,1,1,1,1,1,5
OG0009448,1,1,1,1,1,5
OG0009450,1,1,1,1,1,5
OG0009452,1,1,1,1,1,5
OG0009453,1,1,1,1,1,5
OG0009454,1,1,1,1,1,5
OG0009455,1,1,1,1,1,5
OG0009456,1,1,1,1,1,5
OG0009458,1,1,1,1,1,5
OG0009460,1,1,1,1,1,5
OG0009461,1,1,1,1,1,5
OG0009462,1,1,1,1,1,5
OG0009464,1,1,1,1,1,5
OG0009466,1,1,1,1,1,5
OG0009469,1,1,1,1,1,5
OG0009470,1,1,1,1,1,5
OG0009473,1,1,1,1,1,5
OG0009475,1,1,1,1,1,5
OG0009476,1,1,1,1,1,5
OG0009482,1,1,1,1,1,5
OG0009485,1,1,1,1,1,5
OG0009487,1,1,1,1,1,5
OG0009490,1,1,1,1,1,5
OG0009492,1,1,1,1,1,5
OG0009493,1,1,1,1,1,5
OG0009494,1,1,1,1,1,5
OG0009495,1,1,1,1,1,5
OG0009496,1,1,1,1,1,5
OG0009497,1,1,1,1,1,5
OG0009498,1,1,1,1,1,5
OG0009500,1,1,1,1,1,5
OG0009501,1,1,1,1,1,5
OG0009502,1,1,1,1,1,5
OG0009504,1,1,1,1,1,5
OG0009508,1,1,1,1,1,5
OG0009510,1,1,1,1,1,5
