OG,Cnat_1,Cnat_2,Cnat_3,Cnat_4,Cnat_5
OG0000466,840.471,301.273,935.045,1569.855,270.001
OG0000467,11,13,330,24,1
OG0000468,1731.721,1404.672,1617.341,808.165,610.891
OG0000469,114.553,58.653,78,146.506,7
OG0000470,294,656,305.035,333,1423
OG0000471,4,801,3,6,869.513
OG0000472,32.354,58.981,62,38,91.55
OG0000473,0,0,0,0,5
OG0000474,807.923,1179.88,989.001,996.533,827.837
OG0000475,78,63,94,56,32
OG0000476,3750.049,3164.809,3987.75,2790.814,1120.744
OG0000477,868.227,577.308,1169.89,917.501,307.311
OG0000478,1573.001,647.001,1196,947,2191.251
OG0000479,14201.474,10760.044,12497.093,14989.431,3134.002
OG0000480,3082.372,2631.266,3131.195,1594.002,1240.89
OG0000481,376.996,336,344.208,247.291,96
OG0000482,714.829,148,463.981,1463,158
OG0000483,94.387,108.603,59,62.957,79.837
OG0000484,642,370,451,285,84
OG0000485,5,14,96,86,32
OG0000486,220,61,286,60,11
OG0000487,5998.995,5108.651,5981.252,4002.304,1128
OG0000488,86,130,59,69.364,15
OG0000489,178,115,193,88,90
OG0000490,24.153,36.134,24,3,172.148
OG0000491,1281.33,482.428,672.11,567,278.913
OG0000492,423.284,503.167,591.108,317.329,496.102
OG0000493,268.519,89.001,386.516,169.752,49.982
OG0000494,2321.225,1834.391,2409.39,1654.502,641.779
OG0000495,1305.839,1646.733,1621.327,1863.002,54.006
OG0000496,323.075,93,265,199,8
OG0000497,15,27,15,21,17
OG0000498,1237,1990,1186.583,1295,1031
OG0000499,55,46,14,83.006,26
OG0000500,79,120,83,42,103
OG0000501,414.201,498,393,263,315
OG0000502,1,311.079,2,2.941,558.757
OG0000503,288,129.574,496,129.31,58.319
OG0000504,200.414,280,226.993,82,133.033
OG0000505,400.106,379.003,594,655,163
OG0000506,189,421.739,248,117,86
OG0000507,7.665,0,40.336,14,14
OG0000508,195,93,150.07,52,31
OG0000509,3631.99,3394.604,4614.651,2782.944,1716.669
OG0000510,203,103,109,170.013,47
OG0000511,13,2,4,0,1
OG0000512,9305.917,6433.058,11468.989,6925.046,2558.556
OG0000513,214,116,406,127,118
OG0000514,543.605,878.837,654.853,226.09,67.875
OG0000521,174.908,97.922,123.846,59.055,22
OG0000522,42.546,475.529,54.77,26.39,405.095
OG0000523,2529.679,1096,2437.974,1369.018,821
OG0000524,13636.856,9090.683,12027.965,9321.349,7252.542
OG0000525,8,0,12,6,5
OG0000526,46.734,12,56.002,103.864,15.472
OG0000527,525.154,405,974,1729,142
OG0000528,1074.461,414.538,494.561,453.475,256.726
OG0000529,37,9,28,45,92.167
OG0000530,55,62,90,68,71
OG0000531,279,59.141,307.031,346,1
OG0000532,33,32,18,14,16
OG0000533,7,6,1,1,2
OG0000534,5413,3071,5722,4180,1518.995
OG0000535,752.019,604.568,273.033,351.347,255.181
OG0000536,64,18,36,223,9
OG0000537,148,46,82,90,70
OG0000538,241,112,144,175,35
OG0000539,89,39,94.288,106.001,27.999
OG0000540,111.751,46,83,84,104.647
OG0000541,139,44,103,93,26
OG0000542,3867.162,3032.995,4186,2744.999,1164.994
OG0000543,191,42,209.824,146.999,51
OG0000544,193,138,191.36,250,172
OG0000545,22.13,29.37,47.832,36.981,14.24
OG0000546,24,25.997,128,10,6
OG0000547,830,463.74,572,205,273.876
OG0000548,0,27,1,0,10
OG0000549,826.1,425,560,201.856,339
OG0000550,39,228.369,31,33,286.648
OG0000551,0,341.182,3,5,460.982
OG0000552,1039.463,590.002,734,363.991,703.002
OG0000553,573.399,278.127,537.635,347.189,70
OG0000554,383,252.999,426.131,224.647,195.933
OG0000555,1867.753,518.206,1859.167,1395.37,246.787
OG0000556,180.193,64.003,105.261,124.608,21
OG0000558,3671,1316,2196.602,2400.018,301
OG0000559,146,62.19,149,215.79,17.211
OG0000560,403,204,351,291,92
OG0000561,1780.875,1379.122,1909.05,1676.843,706
OG0000562,1368.824,1469.38,1587.493,1278.692,1020.269
OG0000563,47,86,29,17,83.015
OG0000564,275,186,245.064,213,283.499
OG0000565,0,32,0,0,33
OG0000566,528.057,163,572.015,392.326,87
OG0000567,890.934,444.273,724.251,513.894,4879.601
OG0000568,324.534,370.938,287.547,222.719,695.868
OG0000569,118,75,138,71,55
OG0000570,86,30,44,49,14
OG0000571,4348,4129.346,4585.955,2695.943,1707
OG0000572,204,324,230,238,68
OG0000573,10,2,6,3,0
OG0000574,1004.421,1179.989,1267.186,831.008,450.916
OG0000575,306,425,257,183,21
OG0000576,40,42,11,854,8
OG0000577,175.955,104.052,170.256,58.977,190.584
OG0000578,1401,506.721,876,1103,100
OG0000579,10,2,1,2,136
OG0000580,30,15,23,50,11
OG0000581,969,969.828,805,670.464,986.12
OG0000582,571.115,420.213,727.418,344.888,2880
OG0000583,62.062,42.542,44.755,50.995,21.678
OG0000584,862.342,287.107,541.291,684.581,24.995
OG0000585,6,3,5,1,2
OG0000586,705.718,248.096,210,558.029,148.307
OG0000587,5,7,3,3,11
OG0000589,10.001,26.279,12,16,29.462
OG0000590,1052,601.301,975,728.024,145.575
OG0000591,4,69,5,10,12
OG0000592,320,180,285,185,127
OG0000593,4,23,0,0,107
OG0000594,25,58.456,18,31,52
OG0000595,3364.182,4175.418,3689.252,1485.731,1485.528
OG0000596,3,135,145,37,0
OG0000597,53,21,20,68,4
OG0000598,376,337.247,425.015,465.008,399.841
OG0000599,1612.232,283.002,1781.024,90,430
OG0000600,93,26,89,131,27
OG0000601,64.87,68,67,71,162.405
OG0000602,0,80.464,0,0,93.456
OG0000603,353,263,463,384,87
OG0000604,8,36,157,21,35
OG0000605,6255.415,5033,6005.527,4310.515,1871.999
OG0000606,96,53,102,74,31
OG0000607,1,1,0,2,71.552
OG0000608,162,122,154.872,76,58
OG0000609,2,0,1,0,45
OG0000610,88,205,128,124,101
OG0000611,36,692.23,20,53,999.468
OG0000612,107,28,64,123,0
OG0000613,624,618,671,488,409
OG0000614,6,37,5,1,20
OG0000615,10,45,620,100,3
OG0000616,13,3,2,0,9
OG0000617,36,42,28,18,22
OG0000618,219,334.999,140,133,35
OG0000619,327,460,241,174.26,308
OG0000620,0,60.773,0,2,76
OG0000621,134.111,207.004,188,215.99,109.001
OG0000622,184.005,38.133,160,162.457,0
OG0000623,343,1071.519,344.022,470,1123.79
OG0000624,805.049,685,709.945,619.001,402.001
OG0000625,2,1121.998,9.004,8,1221.971
OG0000626,46.189,591,186,77.001,7
OG0000627,298,274,219,129,46
OG0000628,1045.514,306.358,1194,1280.999,183.373
OG0000629,5.203,20.969,146.371,1.014,4
OG0000630,730.153,873,1006,442,158
OG0000631,25,3,13,31,0
OG0000632,594,915.998,1091,607,243
OG0000633,37,38,46,14,10
OG0000634,94,82,79,77,27
OG0000635,12,2399.394,15,33,2929.317
OG0000636,422,354,452,280,343.001
OG0000637,196,451,163,159,124
OG0000638,5583,4213,7138,4909.995,1708
OG0000639,1755,1499.42,1843.919,1285,626
OG0000640,11,3,31.272,35,4
OG0000641,44.494,12.082,31.802,30.992,4.33
OG0000642,73,56,77,35,16
OG0000643,1,2,2,3,0
OG0000644,5496.255,4934.103,7437.015,4648.544,1935.673
OG0000645,121.019,155,40,92.945,131
OG0000646,6898.199,6569.176,7990.724,6362.022,2609
OG0000647,1153.437,1098.934,2195.286,1277,397.119
OG0000648,410.72,250,213,146,171
OG0000649,375.016,310,446.004,340,134
OG0000650,12,7,17,6,24
OG0000651,1133.698,934.639,1626.416,857.559,700.378
OG0000652,1260.95,974,1935.001,1036.067,254
OG0000653,1625,1760.238,1017,482,135
