OG,Past_1,Past_2,Past_3,Past_4
OG0000384,2771.142,8144.788,5404.953,16223.744
OG0000385,85,136.759,75,218.003
OG0000386,43,118.508,111,468.025
OG0000387,432,975.781,769.35,1786.328
OG0000388,88.145,114.174,112,111.188
OG0000389,944.723,2840.517,1872.059,2834.296
OG0000390,142,338.86,413.001,968.023
OG0000391,0,0,0,1
OG0000392,534,3539.862,526.234,3272.953
OG0000393,104.304,230.199,117.789,483.457
OG0000394,10,35.689,29,99
OG0000395,14,21.161,25,95.999
OG0000396,149,242.126,259,664.155
OG0000397,0,1,1,13
OG0000398,364.141,1134.435,631.94,3011.013
OG0000399,808,1510.021,768.191,4346.875
OG0000400,2,5,4,20
OG0000402,14,32.02,18.171,68.472
OG0000403,720.058,1551.069,1317.055,5349.482
OG0000404,742.625,1603.482,1195.085,3877.658
OG0000405,349.003,995.425,448.267,1888.198
OG0000406,229.002,3066.961,663.174,1365.768
OG0000407,244,489.954,371.005,276.866
OG0000408,658.803,1519.905,1028.629,3457.994
OG0000409,265,427.552,234.408,962.86
OG0000410,36.024,105.202,56.008,220.499
OG0000411,5086.174,14980.813,10722.719,24770.32
OG0000412,1075.051,2717.816,1668.998,7171.215
OG0000413,425.911,937.317,790.007,2974.176
OG0000414,85,169.929,167,324.006
OG0000415,26,41.286,44,144
OG0000416,2603.997,6637.693,2531.501,11144.694
OG0000418,0,1,0,13
OG0000419,2678.622,8034.476,2661.028,7632.623
OG0000420,1289.108,4086.238,1796.24,5882.986
OG0000421,1122.795,2566.048,1338.608,5452.755
OG0000422,0,0,1,76.29
OG0000423,4574.317,9321.695,7958.368,11966.907
OG0000424,986.998,1607.305,1494.219,5712.925
OG0000426,113,323.542,340,1173.493
OG0000427,243.125,677.696,410.004,1622.813
OG0000428,53,85.803,45.041,307.37
OG0000429,424,1063.469,404,382.011
OG0000430,5,5,9.586,26.699
OG0000432,65,40.002,43,211.455
OG0000434,7,127.138,125,377.314
OG0000435,255,269.952,536.093,1189.946
OG0000436,6,5,12,36
OG0000437,155,481.9,410,515.231
OG0000438,190,536.331,305.26,1110.294
OG0000439,86,345.932,186.013,462
OG0000440,63,45.504,37,186
OG0000442,241,856.776,471.279,2368.901
OG0000443,7,7.91,4,79
OG0000444,35,31.397,25,88
OG0000446,41,96.216,58,709
OG0000447,492.001,448.376,451,1896
OG0000448,0,0,0,6
OG0000449,2186.717,4980.81,1982.466,6907.523
