OG,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0000383,272.971,507.031,232.772,235
OG0000384,197,179.997,114,106
OG0000386,63,93,133,120
OG0000387,1941.018,2482.339,1865.991,2055.997
OG0000388,43,91,4,38
OG0000392,971,1329.192,848.999,849
OG0000394,5.09,0,0,0
OG0000395,1335,871.024,391.069,732.001
OG0000396,235,120,150,87
OG0000398,2566,4628,1579.493,3367.391
OG0000399,4977.777,8231.443,5398.893,5844.196
OG0000400,840,3300.489,1924,1826.014
OG0000402,1911.999,4088,1380.879,1633
OG0000403,3909.324,5981.011,2792.765,3198.657
OG0000404,698.192,1135.003,521.524,559
OG0000405,991.53,1022,520,790
OG0000406,887,873,470,732
OG0000407,356,378,249,233
OG0000408,0,4,0,0
OG0000411,10814.078,13603.759,10702.916,10013.833
OG0000412,2664,2613.37,1493.103,2254
OG0000413,0,0,0,0
OG0000414,270.566,254.001,115,121.27
OG0000415,63,85,70,80
OG0000418,734,441,362,577
OG0000419,7088.667,9508.428,5813.136,5614.971
OG0000420,7646.343,9844.055,5420.33,6731.2
OG0000421,3154.491,5180.873,1559.007,2554.845
OG0000422,6,14,3,0
OG0000423,2430.383,2663.018,2235.063,1774
OG0000425,0,0,0,0
OG0000426,217,321,119,175
OG0000427,936.017,1551,563,488
OG0000429,1341,400,387,1222.09
OG0000430,44.977,63.489,149.094,139.52
OG0000434,1756.55,1193.277,790.174,1480.096
OG0000436,237,294,129,353
OG0000437,197,290,195,194
OG0000438,109,393.739,235,155
OG0000439,0,13,17,3
OG0000442,2524.005,2901.279,1487,1706.876
OG0000443,0,0,1,1.415
OG0000444,1,0,0,0
OG0000445,7,0,0,0
OG0000446,284,340.697,285,295
OG0000447,3774,4217,2861,3045.713
OG0000448,154,50,54.998,28
OG0000449,0,0,0,0
OG0000450,13,35,18,17
OG0000451,944.005,4487.579,730.877,1216.918
OG0000452,985.001,1301.607,457,736.827
OG0000453,72.999,143,50,114
OG0000454,445,772.706,336,303
OG0000455,100,113,67,82
OG0000458,692,660,292,546
OG0000462,15,61,15,27
OG0000463,83,111,105,131
OG0000464,37,3,49,3
OG0000465,3210.203,3856,2229.091,2794
OG0000467,113,7,1,0
OG0000468,2932.086,2765,1721,1925.028
OG0000469,7,2,1,6
OG0000471,2,0,0,0
OG0000472,1956.488,3333.303,1380.895,1478.954
OG0000475,547,921,247,392
OG0000476,16768.5,18024.062,11933.064,13570.306
OG0000478,25.173,38.76,23.001,26
OG0000479,5087.841,7662.982,3540.546,4162
OG0000480,7043.353,7219.056,4548.103,6180.766
OG0000481,48,40,29,46
OG0000484,23,31,10,24
OG0000485,0,0,0,0
OG0000486,750.931,860.861,240,609.847
OG0000487,4732.911,6373.596,3501.869,4232.199
OG0000488,210,473,234.006,239
OG0000489,392,418,302,451
OG0000491,372,343.978,278,283
OG0000493,105,151,162,79
OG0000494,3,0,0,0
OG0000495,1956.043,1454,1031.127,1603
OG0000496,4,1,2,1
OG0000497,11,5,6,10
OG0000498,710.001,996.895,660,934
OG0000499,2040,2532,3278.352,734.406
OG0000500,90,70,62,115
OG0000501,3340.314,4188.008,1580.991,2102.41
OG0000502,48,37.003,82,88
OG0000503,137.964,131,64,179
OG0000504,387,639,244.084,321
OG0000506,1828,1440,995,1266.707
OG0000507,108,179,162,128
OG0000508,34,33,32,30
OG0000509,3671.799,4684.109,2448.148,3386.41
OG0000510,303,315,161,199
OG0000512,16450.752,18063.63,13156.169,13461.381
OG0000513,9,19,9,36
OG0000514,246,420,207,212
OG0000516,78,68,85,91
OG0000517,148,237,130,143
OG0000519,5,0,1,0
OG0000521,22,27,31,65
OG0000523,1843.998,2699.995,1186.486,1834.955
OG0000524,15503.439,19601.651,10233.217,10096.886
OG0000525,9,11,2,5
OG0000526,80,307,201.98,204
OG0000527,426,423,216,230
OG0000528,13,26,72,25
OG0000530,1477.75,1658.921,974,1142.058
OG0000531,3,0,0,0
OG0000534,7094.117,8142.074,4588.085,6262.302
OG0000535,5957.117,6054.705,3640.577,3021.754
OG0000536,3206.7,1761,1222.008,2000
OG0000537,251,483,264,262
OG0000538,646,705,394,634
OG0000540,53.029,21,36,33
OG0000541,32,251,56,32
OG0000542,7603.051,7937.623,5348.123,6872.635
OG0000544,65.004,60,156.022,88.937
OG0000546,418,250,210,297
OG0000547,16,2,8,15
OG0000548,708.917,1038.197,410,491.782
OG0000551,7,11,12,5
OG0000552,30,27,25,43
OG0000554,58,69,41,53
OG0000555,1149,2857.022,643,866
OG0000556,247,349,295,167
OG0000557,14,52,38,21
OG0000558,130,162,218,57
OG0000560,753,653,382,467
OG0000561,2445.706,3609.437,1775,2161.956
OG0000562,1922.429,2266.068,1568,1423
OG0000563,7,34,5,8
OG0000564,319,559,322,265
OG0000565,20,23,29,33
OG0000566,224,87,86,116
OG0000568,1597,2602,1756,1228
OG0000569,768,498,282.003,352
OG0000570,56,141,64,92
OG0000571,7407.409,6994.192,4287.558,5197.566
OG0000572,403,255,272,274
OG0000573,258,142,212,153.985
OG0000574,1934.171,2000.011,1492,1598.11
OG0000575,492,452.742,181,480.239
OG0000576,0,0,0,0
OG0000578,1035.248,1410,1242,1336.482
OG0000580,511.074,451.992,372,470
OG0000581,1042,1330,799,548
OG0000582,22,38,79,38
OG0000583,517.001,751.205,397,874
OG0000584,264,247,118,136
OG0000586,593,852.43,656,534
OG0000587,23,30,20,34
OG0000588,4582.712,1784.014,1414,2956.386
OG0000590,3526.016,5629.44,2425.999,3064
OG0000591,85,107,74,134.014
OG0000592,0,0,2,5
OG0000595,5431.308,5627.006,4936.579,5010.879
OG0000596,84,27,24,34
OG0000597,0,0,0,0
OG0000599,630,244,257,252
OG0000603,833,1032.291,626.879,763
OG0000605,239,221,121,150
OG0000606,514.011,739,326,273
OG0000608,10,7,5,15
OG0000609,5,0,0,0
OG0000610,256,409,92,277
OG0000612,222,543.991,160.058,285.461
OG0000613,1132,1337,735.038,698.995
OG0000614,98,16,287.997,348
OG0000616,60,113,325,24
OG0000619,331.127,226,239,224
OG0000622,6,0,0,1
OG0000624,1130,1962.777,877,1101
