"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","abundance.sample5","counts.sample1","counts.sample2","counts.sample3","counts.sample4","counts.sample5","length.sample1","length.sample2","length.sample3","length.sample4","length.sample5","countsFromAbundance"
"OG0000043",11.665469,8.469664,15.035097,5.799415,30.807533,224.34,188.533,285.136,182.074,1333.781,1298.46648751096,1477.05753207542,1278.25539766933,1948.58672153226,3504.41328117,"no"
"OG0000044",223.256481,262.213808,202.509934,142.568317,118.595014,5002.142,4926.043,4401.554,3692.946,3145.031,1512.78394768579,1246.58018656847,1464.97639341432,1607.70466012377,2146.5755976823,"no"
"OG0000045",160.46028,37.988609,98.394381,39.658351,22.374098,1829.682,564.731,1051.483,897.799,234.109,769.898430298875,986.428610008858,720.283162523468,1405.07905836178,846.953254692547,"no"
"OG0000046",37.608303,25.215351,30.811175,39.449445,39.791317,778.907,499.065,661.006,925,633.712,1398.38458280973,1313.31740852162,1445.99891719709,1455.31593331452,1289.11366943268,"no"
"OG0000047",286.577483,221.828755,299.887515,213.647724,97.416662,6023.344,4760.671,6404.774,4885.022,1705.564,1419.12492959124,1424.05835882235,1439.51633373435,1419.1376321962,1417.17120403232,"no"
"OG0000048",0.37468,149.027968,1.250398,1.350912,256.011779,3,521.044,6,7,720.15,540.611463342052,231.997809236049,323.425150066619,321.608618046919,227.692807585408,"no"
"OG0000049",25.44452,31.071181,25.970231,25.758235,77.334914,278.138,349,276.608,292.198,740.252,738.058247564977,745.324673513697,717.892440773669,704.070681884182,774.803558293606,"no"
"OG0000050",508.148088,764.434818,585.971036,348.879105,883.49762,6551.772,7261.683,7752.251,4905.862,6400.308,870.549558612128,630.33911585452,891.708332766361,872.763218283695,586.385576716337,"no"
"OG0000051",805.396767,641.120079,749.918805,487.659169,321.265598,6955.191,5327.464,6956.096,4824.391,2233.031,583.07448160744,551.389720425689,625.205021847728,614.019886965455,562.623712371357,"no"
"OG0000052",81.739804,126.795799,94.055429,74.610162,140.566055,394,675.518,615.819,475.013,481.229,325.452570361069,353.516297337856,441.306795767026,395.151906157019,277.114309318761,"no"
"OG0000053",31.128673,26.722336,26.299633,13.624037,18.527809,356.056,413.87,349,209,77.428,772.294030990753,1027.70180398319,894.431836674413,952.130950913448,338.267415461051,"no"
"OG0000054",21.597672,5.959644,20.496074,22.748464,12.875346,372.142,94,359,418.998,79.001,1163.39250022164,1046.61010678926,1180.57866828428,1143.18286216239,496.666522123134,"no"
"OG0000055",14.265144,40.739468,12.389245,15.402757,61.798749,155.868,1029.384,148,190.436,1309.614,737.744336704768,1676.64013239051,805.172466023959,767.375477391353,1715.34373325785,"no"
"OG0000056",34.528759,60.137289,41.273146,25.165413,14.904025,291.539,508,359,230,102,570.086191699621,560.528364200604,586.270527432535,567.257248266261,553.967297296871,"no"
"OG0000057",1060.299144,945.611369,543.573102,582.677426,580.640819,2462.141,2499.269,1486.921,1431.315,1211.961,156.786701732856,175.379133904804,184.37412046445,152.462530684762,168.954089336201,"no"
"OG0000058",5.21406,0.651247,5.651841,5.36641,0,134,17,147,150,0,1735.217,1732.131,1753.067,1734.857,1738.79819779277,"no"
"OG0000059",14.219168,7.034352,15.456986,19.323715,23.01171,106.157,283.642,120,133.484,550.165,504.077588072664,2675.62000974987,523.272164748807,428.739321032576,1935.22807637064,"no"
"OG0000060",36.507471,5.475323,31.999964,39.269759,2.029863,489.059,77.016,415.346,573.034,16.002,904.492359645153,933.361494772272,874.846219376091,905.688790525631,638.12819783749,"no"
"OG0000061",559.75777,358.318356,554.607498,420.275253,475.210382,3270.899,2204.836,3476.914,2709.595,1599.097,394.540932908506,408.305108990233,422.550871801474,400.153985548995,272.380678374361,"no"
"OG0000062",0,5.783868,0.060685,0.543683,0.048932,0,288.614,3,29.028,2,3316.35708532053,3311.131,3332.067,3313.857,3308.425,"no"
"OG0000063",18.229976,8.657885,12.209563,12.697842,8.292834,753.737,256.553,394.493,751.58,175.21,2791.63857271107,1966.26951473033,2177.76541372971,3673.68695077124,1710.19388904625,"no"
"OG0000064",7.97214,5.418185,5.742999,6.499399,1.069981,157,121,141,147,17,1329.68912952607,1481.86664065753,1654.8227182782,1403.78464579663,1286.05732733385,"no"
"OG0000065",181.838886,220.411228,136.202019,148.70971,231.139674,454.932,606,451.033,452.979,544,168.921486136755,182.43862860926,223.201104760958,189.057914107034,190.507386450091,"no"
"OG0000066",35.393952,21.716435,17.943489,10.912966,21.296369,259,62,162,130,130,494.07806190439,189.444688256521,608.526284999478,739.36136546728,494.112135219107,"no"
"OG0000067",0,12.786084,39.311798,1.041089,9.334415,0,48,164,5,25,259.380907902403,249.104244556504,281.18451265297,298.083782980129,216.790951180122,"no"
"OG0000068",6.730098,3.504704,11.77937,4.939654,1.703455,90.379,62.957,131.571,76.152,5,906.717724160629,1191.99003626897,752.852189251463,956.845416470668,237.589,"no"
"OG0000069",99.733188,22.71616,68.78387,28.057692,14.697737,594.037,132.294,430,181,17.391,402.159769228965,386.440178436232,421.359809436035,400.38956277038,95.775324044375,"no"
"OG0000070",52.971935,55.451258,49.86891,54.497774,39.792505,890.557,802.475,869.51,917.19,440.706,1135.11789992882,960.278868157148,1175.2107461434,1044.56892103259,896.46948081826,"no"
"OG0000071",906.676919,758.696992,1056.13234,791.178826,433.344543,17060.869,13636.344,20161.061,16547.069,6292.371,1270.49672636614,1192.63382591035,1286.66707007764,1298.08369177367,1175.3535660346,"no"
"OG0000072",67.069331,53.899209,92.458209,62.965544,32.451129,1636,1228,1970,1398,619,1646.96485346835,1511.79692094144,1436.12381188616,1378.03567646788,1544.00416400998,"no"
"OG0000073",4268.756251,2856.271735,4170.594417,3314.976452,1079.290963,20774.471,13922.595,21251.596,17246.919,3938.243,328.589725971567,323.44361242247,343.450781380072,322.914342239024,295.35978838833,"no"
